name,party,chamber,district,partyUnity,independenceRate,votedWithParty,partyLineVotes,participationRate,missedRate,cast,missed,totalRollCalls,presidingOfficer,id
Bethany Ballard,Republican,House of Representatives,147,1.0,0.0,342,342,0.9952,0.0048,1243,6,1249,false,ocd-person/8b4b00cb-6f78-4b69-b788-796b19d94752
Noel Williams,Republican,House of Representatives,148,1.0,0.0,344,344,0.9648,0.0352,1205,44,1249,false,ocd-person/3252da04-a17e-4298-b19d-9dd2fbf29ded
Floyd Griffin,Democratic,House of Representatives,149,0.9851,0.0149,330,335,0.968,0.032,1209,40,1249,false,ocd-person/b261086c-7b16-4a8e-82a6-22df4445af84
Patty Marie Stinson,Democratic,House of Representatives,150,0.1515,0.8485,35,231,0.6966,0.3034,870,379,1249,false,ocd-person/af51c2db-8871-45a4-803d-314fa2b9d18d
Mike Cheokas,Republican,House of Representatives,151,0.9794,0.0206,332,339,0.9327,0.0673,1165,84,1249,false,ocd-person/1831cc73-e694-4cea-83a4-b55c3495f76a
Bill Yearta,Republican,House of Representatives,152,1.0,0.0,277,277,0.9255,0.0745,1156,93,1249,false,ocd-person/23dfc274-73d1-45df-b381-67e597cf0b84
David Sampson,Democratic,House of Representatives,153,0.9578,0.0422,318,332,0.9143,0.0857,1142,107,1249,false,ocd-person/9a8e7b0c-3c19-473f-b04a-d3a17037af0a
Gerald Greene,Republican,House of Representatives,154,1.0,0.0,337,337,0.9888,0.0112,1235,14,1249,false,ocd-person/570a213a-a475-4fd3-ac36-23e1bd1190be
Matt Hatchett,Republican,House of Representatives,155,1.0,0.0,338,338,0.9464,0.0536,1182,67,1249,false,ocd-person/c81779f3-65bf-4714-b295-79cac3b0da28
Leesa Hagan,Republican,House of Representatives,156,0.9971,0.0029,341,342,0.9712,0.0288,1213,36,1249,false,ocd-person/df874c28-6403-42c1-9cbb-0855508cda85
Bill Werkheiser,Republican,House of Representatives,157,0.9867,0.0133,296,300,0.9223,0.0777,1152,97,1249,false,ocd-person/adefd0ba-43cd-4aae-9321-12f67e57ac8a
Butch Parrish,Republican,House of Representatives,158,1.0,0.0,344,344,0.9976,0.0024,1246,3,1249,false,ocd-person/842218b5-88ae-4ba8-8395-756bf3340e16
Jon Burns,Republican,House of Representatives,159,,,0,0,0.0008,0.9992,1,1248,1249,true,ocd-person/64012657-d026-411c-9525-3232524a5145
Lehman Franklin,Republican,House of Representatives,160,0.9913,0.0087,341,344,0.9776,0.0224,1221,28,1249,false,ocd-person/6971bb34-9ea4-4bdc-971e-c1a2c5de344c
